statisticalID,name,partOf,code,physicalType,district,state
2OKicPQMNI,C.U.AMBOHIDRATRIMO Office,Location/oEBf29y8JP8,CRVS_OFFICE,Building,AMBOHIDRATRIMO District,Antananarivo Province
JEhYJ82xRI,C.U.ANDRAMASINA Office,Location/HPGiE9Jjh2r,CRVS_OFFICE,Building,ANDRAMASINA District,Antananarivo Province
JWMRGwDBXK,C.U.ANJOZOROBE Office,Location/BxrIbNW7f3K,CRVS_OFFICE,Building,ANJOZOROBE District,Antananarivo Province
eaBXhNiLMp,C.U.ANKAZOBE Office,Location/SQT8xjbvWwf,CRVS_OFFICE,Building,ANKAZOBE District,Antananarivo Province
okQp4uKCz0,C.U.BEMASOANDRO Office,Location/ntoX1PkiWri,CRVS_OFFICE,Building,BEMASOANDRO District,Antananarivo Province
R5n2eHaSpB,C.U.SABOTSY NAMEHANA Office,Location/SvFNQpplnch,CRVS_OFFICE,Building,SABOTSY NAMEHANA District,Antananarivo Province
GzanivmNaP,C.U ANTANANARIVO Office,Location/NLjvK1QsrN3,CRVS_OFFICE,Building,C.U ANTANANARIVO District,Antananarivo Province
2stAtvOCwl,C.U MANJAKANDRIANA Office,Location/hywxVKv48Xp,CRVS_OFFICE,Building,C.U MANJAKANDRIANA District,Antananarivo Province
p9TC08l373,C.U.FENOARIVOBE Office,Location/QTtxiWj8ONP,CRVS_OFFICE,Building,FENOARIVOBE District,Antananarivo Province
Hal1YwlBw7,C.U TSIROANOMANDIDY Office,Location/Oapn6R4rt3D,CRVS_OFFICE,Building,C.U TSIROANOMANDIDY District,Antananarivo Province
OgMqVlKHoN,C.U.Arivonimamo I Office,Location/idR0pJWLqcR,CRVS_OFFICE,Building,Arivonimamo I District,Antananarivo Province
FHTLilSEgD,C.U MIARINARIVO Office,Location/jCJxK8sFH40,CRVS_OFFICE,Building,C.U MIARINARIVO District,Antananarivo Province
jMEPmtRKQ9,C.U SOAVINANDRIANA Office,Location/ydyJb1RAy4U,CRVS_OFFICE,Building,C.U SOAVINANDRIANA District,Antananarivo Province
hfFdA2JI3T,C.U. ANTANANARIVO ANTSIMONDRANO Office,Location/nO68NTtcdw2,CRVS_OFFICE,Building,AMBATOLAMPY AMBONIVOHITRA District,Antananarivo Province
mNCAv7oKj8,C.U. ANTANANARIVO AVARADRANO Office,Location/FuvOOwvBw0p,CRVS_OFFICE,Building,ANTANIFOTSY District,Antananarivo Province
H0EaOnzz0a,C.U.ANTSIRABE I Office,Location/R22tRIhdm5Y,CRVS_OFFICE,Building,ANTSIRABE I District,Antananarivo Province